covid,8307
prices,6031
store,5341
food,5290
supermarket,5098
grocery,4713
amp,4211
people,4181
consumer,3637
can,3572
will,3520
online,2684
shopping,2642
now,2433
pandemic,2207
need,2109
who,2091
just,1984
workers,1959
panic,1910
